nombre;codigo;figura
Despejado;despejado;![](img/despejado.png =40x)
Ligeramente nublado;ligeramente-nublado;![](img/ligeramente-nublado.png =40x)
Algo nublado;algo-nublado;![](img/algo-nublado.png =40x)
Parcialmente nublado;parcialmente-nublado;![](img/parcialmente-nublado.png =40x)
Mayormente nublado;mayormente-nublado;![](img/mayormente-nublado.png =40x)
Nublado;nublado;![](img/nublado.png =40x)
Ventoso;ventoso;![](img/ventoso.png =40x)
Neblina;neblina;![](img/neblina.png =40x)
Niebla;niebla;![](img/niebla.png =40x)
Niebla helada;niebla-helada;![](img/niebla-helada.png =40x)
Llovizna;llovizna;![](img/llovizna.png =40x)
Lluvias aisladas;lluvias-aisladas;![](img/lluvias-aisladas.png =40x)
Lluvias;lluvias-aisladas;![](img/lluvias-aisladas.png =40x)
Chaparrones;chaparrones;![](img/chaparrones.png =40x)
Tormentas aisladas;tormentas-aisladas;![](img/tormentas-aisladas.png =40x)
Lluvias y Nevadas;lluvias-y-nevadas;![](img/lluvias-y-nevadas.png =40x)
Nevadas;nevadas;![](img/nevadas.png =40x)
Tormentas;tormentas;![](img/tormentas.png =40x)
Lluvias fuertes;lluvias-fuertes;![](img/lluvias-fuertes.png =40x)
Nevadas fuertes;nevadas-fuertes;![](img/nevadas-fuertes.png =40x)
Tormentas fuertes;tormentas-fuertes;![](img/tormentas-fuertes.png =40x)
Ventisca alta;ventisca-alta;![](img/ventisca-alta.png =40x)
Ventisca;ventisca;![](img/ventisca.png =40x)
Ventisca baja;ventisca-baja;![](img/ventisca-baja.png =40x)
