nombre,provincia,lon,lat,altura,numero,numeroOACI
BASE BELGRANO II,ANTARTIDA,-34.34,-77.52,256,89034,SAYB
BASE CARLINI (EX JUBANY),ANTARTIDA,-58.38,-62.14,11,89053,SAYJ
BASE ESPERANZA,ANTARTIDA,-56.59,-63.24,24,88963,SAYE
BASE MARAMBIO,ANTARTIDA,-56.43,-64.14,198,89055,SAWB
BASE ORCADAS,ANTARTIDA,-44.43,-60.45,12,88968,SAYO
BASE SAN MARTIN,ANTARTIDA,-67.8,-68.8,7,89066,SAYS
AZUL AERO,BUENOS AIRES,-59.53,-36.5,147,87641,SAZA
BAHIA BLANCA AERO,BUENOS AIRES,-62.1,-38.44,83,87750,SAZB
BENITO JUAREZ AERO,BUENOS AIRES,-59.47,-37.43,207,87649,SAZJ
BOLIVAR AERO,BUENOS AIRES,-61.4,-36.12,94,87640,SAZI
CAMPO DE MAYO AERO,BUENOS AIRES,-58.4,-34.32,26,87570,SADO
CORONEL PRINGLES AERO,BUENOS AIRES,-61.2,-38.1,247,87683,SABP
CORONEL SUAREZ AERO,BUENOS AIRES,-61.53,-37.26,233,87637,SAZC
DOLORES AERO,BUENOS AIRES,-57.44,-36.21,9,87648,SAZD
EL PALOMAR AERO,BUENOS AIRES,-58.36,-34.36,12,87571,SADP
EZEIZA AERO,BUENOS AIRES,-58.32,-34.49,20,87576,SAEZ
JUNIN AERO,BUENOS AIRES,-60.55,-34.33,81,87548,SAAJ
LA PLATA AERO,BUENOS AIRES,-57.54,-34.58,23,87593,SADL
LAS FLORES,BUENOS AIRES,-59.8,-36.2,36,87563,SAEL
MAR DEL PLATA AERO,BUENOS AIRES,-57.35,-37.56,21,87692,SAZM
MARIANO MORENO AERO,BUENOS AIRES,-58.49,-34.33,32,87572,SADJ
MERLO AERO,BUENOS AIRES,-58.44,-34.41,36,87573,SADR
MORON AERO,BUENOS AIRES,-58.38,-34.4,24,87574,SADM
NUEVE DE JULIO,BUENOS AIRES,-60.53,-35.27,76,87550,SAZX
OLAVARRIA AERO,BUENOS AIRES,-60.13,-36.53,166,87643,SAZF
PEHUAJO AERO,BUENOS AIRES,-61.54,-35.52,87,87544,SAZP
PIGUE AERO,BUENOS AIRES,-62.23,-37.36,304,87679,SAZE
PUNTA INDIO B.A.,BUENOS AIRES,-57.17,-35.22,22,87596,SAAI
SAN FERNANDO AERO,BUENOS AIRES,-58.35,-34.27,3,87553,SADF
TANDIL AERO,BUENOS AIRES,-59.15,-37.14,175,87645,SAZT
TRENQUE LAUQUEN,BUENOS AIRES,-62.44,-35.58,95,87540,SAET
TRES ARROYOS,BUENOS AIRES,-60.15,-38.2,115,87688,SAZH
VILLA GESELL AERO,BUENOS AIRES,-57.1,-37.14,9,87663,SAZV
AEROPARQUE AERO,CAPITAL FEDERAL,-58.25,-34.34,6,87582,SABE
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,-58.29,-34.35,25,87585,SABA
CATAMARCA AERO,CATAMARCA,-65.46,-28.36,464,87222,SANC
TINOGASTA,CATAMARCA,-67.34,-28.4,1201,87211,SANI
PRESIDENCIA ROQUE SAENZ PE,CHACO,-60.24,-26.45,93,87148,SARS
RESISTENCIA AERO,CHACO,-59.3,-27.27,52,87155,SARE
COMODORO RIVADAVIA AERO,CHUBUT,-67.3,-45.47,46,87860,SAVC
ESQUEL AERO,CHUBUT,-71.9,-42.56,797,87803,SAVE
PASO DE INDIOS,CHUBUT,-68.53,-43.49,460,87814,SAVP
PUERTO MADRYN AERO,CHUBUT,-65.4,-42.44,136,87823,SAVY
TRELEW AERO,CHUBUT,-65.16,-43.12,43,87828,SAVT
CORDOBA AERO,CORDOBA,-64.12,-31.18,495,87344,SACO
CORDOBA OBSERVATORIO,CORDOBA,-64.11,-31.24,425,87345,SACK
ESCUELA DE AVIACION MILITA,CORDOBA,-64.16,-31.27,502,87347,SACE
LABOULAYE AERO,CORDOBA,-63.22,-34.8,137,87534,SAOL
MARCOS JUAREZ AERO,CORDOBA,-62.9,-32.42,114,87467,SAOM
